obs_wl_air(nm),wn(cm-1),intens
301.21354,33189.368,500
301.29576,33180.312,500
301.73547,33131.961,500
302.6913,33027.34,150*
302.6913,33027.34,150*
302.8424,33010.86,30*
302.8424,33010.86,30*
303.03235,32990.173,500
304.59471,32820.963,70
305.73907,32698.121,3000
306.36952,32630.838,2000
306.5668,32609.84,50
306.7214,32593.40,250*
306.7214,32593.40,250*
307.69761,32490.002,2000
307.88806,32469.905,1000
307.91808,32466.740,1000
310.1407,32234.08,70
312.61965,31978.482,2000
314.77135,31759.894,250
314.86107,31750.844,1000
315.34107,31702.516,1000
316.75762,31560.747,500
320.6199,31180.57,10
320.7906,31163.98,100*
320.7906,31163.98,100*
335.17495,29826.592,250
336.98076,29666.763,5000
336.99069,29665.889,7000
337.56489,29615.428,500
341.79031,29249.316,5000
341.80052,29248.442,500
342.39120,29197.985,500
344.77022,28996.516,2000
345.07641,28970.788,500
345.41942,28942.020,1000
346.05235,28889.087,1000
346.43385,28857.275,1000
346.65781,28838.632,2000
347.25706,28788.868,5000
349.80632,28579.071,1000
350.12154,28553.342,2000
351.07207,28476.035,500
351.51900,28439.831,2000
352.04714,28397.167,10000
356.29551,28058.577,150
359.35263,27819.881,5000
359.36385,27819.012,3000
360.01694,27768.548,1000
360.91787,27699.234,500
363.36643,27512.586,1000
368.22421,27149.637,1000
368.57351,27123.908,1000
370.12247,27010.398,400
375.42148,26629.160,500
376.5819,26547.11,50f
376.8047,26531.41,50f
376.9449,26521.54,70f
376.9654,26520.10,50f
388.2698,25747.99,20f
388.7134,25718.61,10f
388.9427,25703.44,50f
389.9723,25635.58,20f
394.3540,25350.75,20
398.4065,25092.90,20
398.4253,25091.71,70
399.5298,25022.35,10
399.5721,25019.70,10
399.8594,25001.72,10
399.9263,24997.54,10
401.3752,24907.30,10
401.3995,24905.80,20
402.0015,24868.50,20
403.7262,24762.27,50
403.7615,24760.10,150
403.7696,24759.60,50
404.2327,24731.24,100
404.2642,24729.31,500
404.5662,24710.85,20
406.4036,24599.13,500
406.4829,24594.34,150
406.8835,24570.12,300
406.9243,24567.66,300
406.9389,24566.78,50
407.9359,24506.74,20
408.0148,24502.00,500
411.1882,24312.90,10
411.2100,24311.61,150
411.2694,24308.10,200
411.2865,24307.09,100
412.6941,24224.19,20
412.8072,24217.55,300
413.0512,24203.25,200
413.10613,24200.028,700
416.48079,24003.944,500
416.6091,23996.55,300
417.3966,23951.28,20
417.43667,23948.979,700
417.52197,23944.086,600
417.5488,23942.55,400
419.6415,23823.15,150
419.81018,23813.580,700
420.3270,23784.30,20*
420.3270,23784.30,20*
420.3270,23784.30,20*
423.2323,23621.03,10
424.9538,23525.35,20
425.2418,23509.41,20
425.2775,23507.44,20
425.6498,23486.88,20*
425.6498,23486.88,20*
425.9739,23469.01,10
426.2479,23453.92,20
426.7286,23427.50,10
426.7724,23425.10,50
426.80086,23423.538,700
426.97223,23414.137,700
427.02252,23411.380,500
427.46617,23387.083,500
427.5167,23384.32,10
427.55590,23382.175,700
427.8850,23364.19,50
427.9279,23361.85,150
428.3242,23340.23,100
428.8541,23311.39,50
428.9799,23304.56,20
429.1976,23292.74,20*
429.1976,23292.74,20*
429.1976,23292.74,20*
430.3248,23231.73,300
430.3695,23229.31,10
430.3955,23227.91,50
430.62508,23215.527,700
431.0130,23194.63,20
431.4110,23173.23,10
431.4695,23170.09,300
431.6008,23163.04,150
431.8834,23147.89,50
431.9511,23144.26,10
432.1492,23133.65,20
432.7265,23102.79,100
433.41267,23066.2135,700
433.62268,23055.042,500
433.8200,23044.56,20
434.0256,23033.64,20
434.0420,23032.77,20
434.5479,23005.96,20*
434.5479,23005.96,20*
434.5762,23004.46,10
434.6036,23003.01,150
435.7298,22943.55,20
435.7918,22940.29,50
435.8816,22935.56,20
436.2690,22915.20,300
436.3228,22912.37,20
436.35240,22910.818,700
436.5705,22899.37,10
437.1796,22867.47,20
