obs_wl_air(nm),unc_obs_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""301.21354""","=""0.00014""","=""33189.368""","=""500""","=""""",,"=""134459.2871""","=""167648.6382""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",,"=""""","=""L5951""",
"=""301.29576""","=""0.00014""","=""33180.312""","=""500""","=""""",,"=""134459.2871""","=""167639.5697""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""""","=""L5951""",
"=""301.73547""","=""0.00014""","=""33131.961""","=""500""","=""""",,"=""134459.2871""","=""167591.2335""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",,"=""""","=""L5951""",
"=""302.6913""","=""0.0020""","=""33027.34""","=""150*""","=""""",,"=""134041.8400""","=""167069.0791""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L3469""",
"=""302.6913""","=""0.0020""","=""33027.34""","=""150*""","=""""",,"=""134041.8400""","=""167069.0649""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",,"=""""","=""L3469""",
"=""302.8424""","=""0.0020""","=""33010.86""","=""30*""","=""""",,"=""134041.8400""","=""167052.6654""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""302.8424""","=""0.0020""","=""33010.86""","=""30*""","=""""",,"=""134041.8400""","=""167052.6415""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""303.03235""","=""0.00009""","=""32990.173""","=""500""","=""""",,"=""134459.2871""","=""167449.4698""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""""","=""L4498""",
"=""304.59471""","=""0.00009""","=""32820.963""","=""70""","=""""",,"=""134818.6405""","=""167639.5697""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""0""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""""","=""L4498""",
"=""305.73907""","=""0.00008""","=""32698.121""","=""3000""","=""1.81e+06""",C,"=""135888.7173""","=""168586.8304""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""",,"=""T6976""","=""L5951""",
