"Index","DMM-1 Time (s)","DMM-1 Voltage (V)"
"1","0.000379","0.469498932"
"2","0.0771398","0.469070941"
"3","0.0976063","0.468677967"
"4","0.1179211","0.468394368"
"5","0.1380573","0.468211948"
"6","0.1580561","0.468160748"
"7","0.1778992","0.467711687"
"8","0.198384","0.467328786"
"9","0.2190816","0.467003732"
"10","0.2400592","0.466643542"
"11","0.2608748","0.465244889"
"12","0.3330598","0.464563131"
"13","0.3750341","0.463917225"
"14","0.4179421","0.463954448"
"15","0.4385291","0.463749229"
"16","0.4587512","0.463481307"
"17","0.4782048","0.463186115"
"18","0.4977011","0.462997376"
"19","0.5190236","0.462593793"
"20","0.5391149","0.462571889"
"21","0.5600315","0.462588727"
"22","0.5808063","0.462572962"
"23","0.6010865","0.462594896"
"24","0.6212737","0.462608039"
"25","0.6413474","0.462568789"
"26","0.661457","0.462563335"
"27","0.6825241","0.462567508"
"28","0.7078286","0.462599486"
"29","0.7285325","0.462636619"
"30","0.7493987","0.462638169"
"31","0.7701217","0.462618261"
"32","0.7913757","0.462623685"
"33","0.8124484","0.462580233"
"34","0.8322002","0.462547689"
"35","0.8524688","0.46258074"
"36","0.8736839","0.462552607"
"37","0.8947993","0.462582826"
"38","0.9158379","0.462590754"
"39","0.9372031","0.462566763"
"40","0.9573563","0.462598323"
"41","0.9779697","0.462605744"
"42","0.9992145","0.462621569"
"43","1.0207651","0.462601274"
"44","1.0420287","0.462583601"
"45","1.0627808","0.462537974"
"46","1.0832128","0.462538987"
"47","1.1041443","0.462562859"
"48","1.1249741","0.462799876"
"49","1.1456695","0.46297124"
"50","1.166439","0.462981194"
"51","1.1877348","0.463191866"
"52","1.2091233","0.463310837"
"53","1.2303543","0.46349883"
"54","1.2501295","0.463471412"
"55","1.2716574","0.463462978"
"56","1.292899","0.463504463"
"57","1.3142412","0.463507711"
"58","1.3345275","0.463498592"
"59","1.3545082","0.463417798"
"60","1.3752133","0.463210433"
"61","1.3949722","0.462695896"
"62","1.4154832","0.46262443"
"63","1.4358756","0.462603956"
"64","1.4569369","0.46258223"
"65","1.4785433","0.462591499"
"66","1.4991173","0.46255663"
"67","1.5199917","0.462526589"
"68","1.5408675","0.462606906"
"69","1.5617346","0.462636977"
"70","1.5829219","0.462590843"
"71","1.6040741","0.462623894"
"72","1.6249227","0.462592899"
"73","1.645396","0.46257317"
"74","1.6659385","0.462569057"
"75","1.6867442","0.462594956"
"76","1.7077973","0.462599813"
"77","1.7289486","0.462611943"
"78","1.7506627","0.462591528"
"79","1.7720285","0.462553411"
"80","1.7934304","0.462565749"
"81","1.8142205","0.462632268"
"82","1.8345546","0.462596029"
"83","1.8556909","0.462604314"
"84","1.8764974","0.462546557"
"85","1.8975151","0.462192744"
"86","1.9192178","0.462147593"
"87","1.9396932","0.462121546"
"88","1.9605234","0.462129592"
"89","1.9820617","0.462108761"
"90","2.0024922","0.462018489"
"91","2.0239253","0.461929708"
"92","2.0444139","0.461921185"
"93","2.0657204","0.462186276"
"94","2.0858431","0.462202697"
"95","2.1070561","0.462208747"
"96","2.1281613","0.462215274"
"97","2.1496302","0.462175071"
"98","2.170388","0.462106287"
"99","2.1911585","0.461927086"
"100","2.2124765","0.462040632"
"101","2.233675","0.462039113"
"102","2.2548552","0.461994379"
"103","2.2766256","0.461737215"
"104","2.2985739","0.461723923"
"105","2.3189447","0.461714297"
"106","2.3402457","0.461649298"
"107","2.3621613","0.46142742"
"108","2.3833374","0.46133396"
"109","2.4039434","0.461305528"
"110","2.424903","0.461140662"
"111","2.4670744","0.461114794"
"112","2.5094417","0.461005896"
"113","2.53142","0.460851728"
"114","2.5530597","0.460859119"
"115","2.5738739","0.460849434"
"116","2.5951799","0.46087107"
"117","2.6159604","0.460834294"
"118","2.6366941","0.46086502"
"119","2.6578378","0.460888803"
"120","2.6783427","0.460918039"
"121","2.6982997","0.460903048"
"122","2.7194591","0.4609178"
"123","2.7407128","0.460892975"
"124","2.7610816","0.461083412"
"125","2.7817629","0.461244702"
"126","2.8027412","0.461282968"
"127","2.8236961","0.461377888"
"128","2.8446261","0.461302995"
"129","2.8658094","0.461258858"
"130","2.8863745","0.461273521"
"131","2.9071109","0.461264252"
"132","2.9290627","0.461297005"
"133","2.9499319","0.461280882"
"134","2.9703173","0.461232483"
"135","2.9914958","0.461043804"
"136","3.0128904","0.460975229"
"137","3.0334781","0.460907369"
"138","3.0541826","0.460894793"
"139","3.0750064","0.461009949"
"140","3.0952889","0.461162567"
"141","3.1159465","0.461261332"
"142","3.1367648","0.461272001"
"143","3.1579243","0.461312621"
"144","3.1788569","0.461542785"
"145","3.2001591","0.461745083"
"146","3.2212191","0.461758106"
"147","3.2420603","0.462047219"
"148","3.2641773","0.462222695"
"149","3.2841295","0.462201714"
"150","3.3048071","0.462247371"
"151","3.3254484","0.462304323"
"152","3.3459838","0.462515085"
